[41450.0, 3714.49028, 'N', 12646.46898, 'E', 'A']
[41451.0, 3714.49101, 'N', 12646.46901, 'E', 'A']
[41452.0, 3714.49168, 'N', 12646.46898, 'E', 'A']
[41453.0, 3714.49235, 'N', 12646.46896, 'E', 'A']
[41454.0, 3714.49306, 'N', 12646.46891, 'E', 'A']
[41455.0, 3714.49376, 'N', 12646.46886, 'E', 'A']
[41456.0, 3714.49447, 'N', 12646.46881, 'E', 'A']
[41457.0, 3714.49517, 'N', 12646.46877, 'E', 'A']
[41458.0, 3714.49587, 'N', 12646.46877, 'E', 'A']
[41459.0, 3714.49661, 'N', 12646.46886, 'E', 'A']
[41500.0, 3714.49727, 'N', 12646.46892, 'E', 'A']
[41501.0, 3714.49793, 'N', 12646.46898, 'E', 'A']
[41502.0, 3714.4986, 'N', 12646.46901, 'E', 'A']
[41503.0, 3714.49931, 'N', 12646.46901, 'E', 'A']
[41504.0, 3714.50002, 'N', 12646.46899, 'E', 'A']
[41505.0, 3714.50072, 'N', 12646.46902, 'E', 'A']
[41506.0, 3714.50137, 'N', 12646.46907, 'E', 'A']
[41507.0, 3714.50211, 'N', 12646.46911, 'E', 'A']
[41508.0, 3714.50288, 'N', 12646.46914, 'E', 'A']
[41509.0, 3714.5036, 'N', 12646.46921, 'E', 'A']
[41510.0, 3714.50429, 'N', 12646.46929, 'E', 'A']
[41511.0, 3714.50489, 'N', 12646.46932, 'E', 'A']
[41512.0, 3714.50556, 'N', 12646.46939, 'E', 'A']
[41513.0, 3714.50625, 'N', 12646.4694, 'E', 'A']
[41514.0, 3714.50689, 'N', 12646.46947, 'E', 'A']
[41515.0, 3714.50758, 'N', 12646.46959, 'E', 'A']
[41516.0, 3714.5083, 'N', 12646.4697, 'E', 'A']
[41517.0, 3714.50901, 'N', 12646.46973, 'E', 'A']
[41518.0, 3714.5097, 'N', 12646.46978, 'E', 'A']
[41519.0, 3714.51036, 'N', 12646.46991, 'E', 'A']
[41520.0, 3714.51107, 'N', 12646.47004, 'E', 'A']
[41521.0, 3714.51175, 'N', 12646.47013, 'E', 'A']
[41522.0, 3714.51236, 'N', 12646.47016, 'E', 'A']
[41523.0, 3714.51303, 'N', 12646.47022, 'E', 'A']
[41524.0, 3714.51374, 'N', 12646.47031, 'E', 'A']
[41525.0, 3714.51442, 'N', 12646.47041, 'E', 'A']
[41526.0, 3714.51513, 'N', 12646.47055, 'E', 'A']
[41527.0, 3714.51577, 'N', 12646.47067, 'E', 'A']
[41528.0, 3714.51642, 'N', 12646.47077, 'E', 'A']
[41529.0, 3714.51706, 'N', 12646.47086, 'E', 'A']
[41530.0, 3714.51774, 'N', 12646.47098, 'E', 'A']
[41531.0, 3714.51842, 'N', 12646.47109, 'E', 'A']
[41532.0, 3714.51909, 'N', 12646.47122, 'E', 'A']
[41533.0, 3714.51974, 'N', 12646.47128, 'E', 'A']
[41534.0, 3714.52038, 'N', 12646.47136, 'E', 'A']
[41535.0, 3714.52104, 'N', 12646.47138, 'E', 'A']
[41536.0, 3714.52162, 'N', 12646.47137, 'E', 'A']
[41537.0, 3714.52224, 'N', 12646.47134, 'E', 'A']
[41538.0, 3714.5229, 'N', 12646.47134, 'E', 'A']
[41539.0, 3714.52351, 'N', 12646.47132, 'E', 'A']
[41540.0, 3714.5241, 'N', 12646.47138, 'E', 'A']
[41541.0, 3714.52474, 'N', 12646.47146, 'E', 'A']
[41542.0, 3714.52536, 'N', 12646.47145, 'E', 'A']
[41543.0, 3714.52597, 'N', 12646.47143, 'E', 'A']
[41544.0, 3714.52653, 'N', 12646.47144, 'E', 'A']
[41545.0, 3714.52715, 'N', 12646.47148, 'E', 'A']
[41546.0, 3714.52772, 'N', 12646.47149, 'E', 'A']
[41547.0, 3714.52832, 'N', 12646.4715, 'E', 'A']
[41548.0, 3714.52893, 'N', 12646.47144, 'E', 'A']
[41549.0, 3714.52951, 'N', 12646.47131, 'E', 'A']
[41550.0, 3714.53007, 'N', 12646.47115, 'E', 'A']
[41551.0, 3714.53058, 'N', 12646.47107, 'E', 'A']
[41552.0, 3714.53107, 'N', 12646.47093, 'E', 'A']
[41553.0, 3714.53168, 'N', 12646.4704, 'E', 'A']
[41554.0, 3714.53213, 'N', 12646.46986, 'E', 'A']
[41555.0, 3714.53262, 'N', 12646.46947, 'E', 'A']
[41556.0, 3714.53319, 'N', 12646.46922, 'E', 'A']
[41557.0, 3714.53373, 'N', 12646.46912, 'E', 'A']
[41558.0, 3714.5342, 'N', 12646.46917, 'E', 'A']
